, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
209,2379,瑞昱RT,51.0684875,390.5,1994224.437,tw,2379.tw
210,2908,特力Test Rite,50.9887558,26.7,136139.978,tw,2908.tw
211,1460,宏遠Everest Textile,50.9834182,9.85,50218.66693,tw,1460.tw
212,8110,華東科技WALTON,50.6381144,13.8,69880.59787,tw,8110.tw
213,1201,味全食品Wei-Chuan,50.6062914,22.3,112852.0298,tw,1201.tw
214,4532,瑞智RECHI,50.4915105,20.9,105527.2569,tw,4532.tw
215,2520,冠德Kindom,50.3791,33.65,169525.6715,tw,2520.tw
216,1218,泰山TAISUN,49.9999038,27.6,137999.7345,tw,1218.tw
217,2706,第一店First Hotel,49.9998346,14.05,70249.76761,tw,2706.tw
218,2327,國巨Yageo,49.6943278,518,2574166.18,tw,2327.tw
219,1217,愛之味AGV,49.4513336,9.96,49253.52827,tw,1217.tw
220,2388,威盛VIA,49.3303441,53.4,263424.0375,tw,2388.tw
221,2108,南帝化工Nantex,49.2416659,61.1,300866.5786,tw,2108.tw
222,2492,華新科WTC,48.58,230.5,1119769,tw,2492.tw
223,2022,聚亨TYCOONS,47.9751976,8.1,38859.91006,tw,2022.tw
224,1709,和益化工FUCC,47.7016272,15.6,74414.53843,tw,1709.tw
225,2534,宏盛HSC,47.422797,19.6,92948.68212,tw,2534.tw
226,2102,泰豐輪胎FEDERAL CORP,47.3329207,19.7,93245.85378,tw,2102.tw
227,2208,台船公司CSBC,47.2991749,28.45,134566.1526,tw,2208.tw
228,2608,嘉里大榮Kerry TJ,46.7000498,44.8,209216.2231,tw,2608.tw
229,6176,瑞儀ROEC,46.5027263,114,530131.0798,tw,6176.tw
230,9917,中保科TAIWAN SECOM,45.1197093,88.7,400211.8215,tw,9917.tw
231,4915,致伸Primax,45.0898324,48.75,219812.933,tw,4915.tw
232,3189,景碩KINSUS,45.086254,80.9,364747.7949,tw,3189.tw
233,2701,萬企WANHWA,44.9967838,12.4,55796.01191,tw,2701.tw
234,5521,工信KSECO,44.7527413,10.5,46990.37837,tw,5521.tw
235,6443,元晶TSEC,44.579673,41.75,186120.1348,tw,6443.tw
236,2393,億光Everlight,44.3393086,42.2,187111.8823,tw,2393.tw
237,8131,福懋科技FATC,44.2222223,37.8,167160.0003,tw,8131.tw
238,3380,明泰Alpha,44.171846,31.25,138037.0188,tw,3380.tw
239,8105,凌巨GiantPlus,44.1544851,11.8,52102.29242,tw,8105.tw
240,3704,合勤控Unizyx,44.1177355,38.15,168309.1609,tw,3704.tw
241,2538,基泰Kee Tai,43.8448764,10.4,45598.67146,tw,2538.tw
242,2034,允強YC,43.7130743,28.55,124800.8271,tw,2034.tw
243,1806,冠軍CHAMPION,43.3782078,7.81,33878.38029,tw,1806.tw
245,4142,國光生技ADIM,42.950775,56.1,240953.8478,tw,4142.tw
246,2451,創見Transcend,42.9061675,65,278890.0888,tw,2451.tw
247,6257,矽格SIGURD,42.3513732,45.25,191639.9637,tw,6257.tw
248,2360,致茂Chroma,42.1094437,168,707438.6542,tw,2360.tw
249,1712,興農Sinon,42.0492585,21.5,90405.90578,tw,1712.tw
250,1513,中興電工CHEM,42,53.6,225120,tw,1513.tw
251,2617,台航TAIWANLINE,41.7294487,21.1,88049.13676,tw,2617.tw
253,1507,永大機電YUNGTAY,41.082,62.7,257584.14,tw,1507.tw
254,3673,"TPK-KYTPK Holding Co., Ltd.",40.6663759,46.3,188285.3204,tw,3673.tw
255,1108,幸福水泥Lucky Cement,40.4738049,12.7,51401.73222,tw,1108.tw
256,1234,黑松Hey-Song,40.1871094,32.95,132416.5255,tw,1234.tw
257,1307,三芳化工SAN FANG,39.7818126,22.65,90105.80554,tw,1307.tw
258,6285,啟碁WNC,39.7624302,77.7,308954.0827,tw,6285.tw
259,2355,敬鵬Chin-Poon,39.749542,31.7,126006.0481,tw,2355.tw
260,2514,龍邦國際LONG BON,39.4729278,14.35,56643.65139,tw,2514.tw
261,6412,群光電能Chicony Power,38.8751037,70.6,274458.2321,tw,6412.tw
262,3532,台勝科FST,38.78483,135,523595.205,tw,3532.tw
263,9925,新保SKS,38.7489605,36.95,143177.409,tw,9925.tw
264,1604,聲寶Sampo,38.72,26.05,100865.6,tw,1604.tw
265,2506,太設PCC,38.7,9.96,38545.2,tw,2506.tw
266,1464,得力DE LICACY,38.4565652,18.6,71529.21127,tw,1464.tw
267,6177,"達麗DA-LI CO., LTD.",38.0304525,30,114091.3575,tw,6177.tw
268,2369,菱生LPI,38.0102344,14.25,54164.58402,tw,2369.tw
269,2340,光磊OPTO,37.8622846,27.5,104121.2827,tw,2340.tw
270,8112,至上Supreme,37.8496473,34.3,129824.2902,tw,8112.tw
271,4919,新唐科技NTC,37.8461571,47.45,179580.0154,tw,4919.tw
272,1532,勤美CMP,37.6122112,31.8,119606.8316,tw,1532.tw
273,9921,巨大機械Giant Mfg.,37.5064626,275,1031427.722,tw,9921.tw
274,2524,京城KTC,37.1193098,39.4,146250.0806,tw,2524.tw
275,1808,潤隆RUN LONG,36.9996637,59.7,220887.9923,tw,1808.tw
276,1810,和成欣業HCG,36.985361,10.2,37725.06822,tw,1810.tw
277,3033,威健WEIKENG,36.7751242,19.2,70608.23846,tw,3033.tw
278,2704,國賓AMBH,36.6923343,30.3,111177.7729,tw,2704.tw
279,2832,台灣產物TFMI,36.22004,20.5,74251.082,tw,2832.tw
280,2009,第一伸銅FCC,35.9622165,26.2,94221.00723,tw,2009.tw
281,1459,聯發紡織Lan Fa Textile,35.8628907,9.03,32384.1903,tw,1459.tw
282,9934,成霖Globo,35.8163962,15.25,54620.00421,tw,9934.tw
283,4906,正文Gemtek,35.7590496,30.45,108886.306,tw,4906.tw
284,3017,奇鋐AVC,35.3310157,66.1,233538.0138,tw,3017.tw
285,3266,昇陽SUNTY,35.2314309,15.15,53375.61781,tw,3266.tw
286,6269,台郡FLEXIUM,34.4350356,121,416663.9308,tw,6269.tw
287,1309,台達化TTC,34.4231038,38.95,134077.9893,tw,1309.tw
288,2405,浩鑫Shuttle,34.3427303,13.2,45332.404,tw,2405.tw
289,2107,厚生Formosan Rubber Group,34.2326,24.8,84896.848,tw,2107.tw
290,1109,信大水泥HsingTa,34.1957868,20,68391.5736,tw,1109.tw
291,2017,官田鋼Quintain Steel,34.1867462,12.35,42220.63156,tw,2017.tw
292,6456,GIS-KYGIS,33.94398,114.5,388658.571,tw,6456.tw
293,2457,飛宏Phihong,33.7688416,16.3,55043.21181,tw,2457.tw
294,6213,聯茂ITEQ,33.2957218,138,459480.9608,tw,6213.tw
295,2383,台光電EMC,33.2918299,157,522681.7294,tw,2383.tw
296,2481,強茂Pan Jit,33.2814927,54.1,180052.8755,tw,2481.tw
297,2536,宏普Hung Poo,33.2808652,23,76545.98996,tw,2536.tw
298,2109,華豐橡膠Hwa Fong,33.2349134,13.2,43870.08569,tw,2109.tw
299,9941,裕融           TAC common,33.2301337,100.5,333962.8437,tw,9941.tw
300,2535,達欣工DA CIN,33.1671918,26.95,89385.5819,tw,2535.tw
301,2049,上銀科技HIWIN,33.0866252,384.5,1272180.739,tw,2049.tw
302,3062,建漢CyberTAN,32.8605418,18.1,59477.58066,tw,3062.tw
303,2545,皇翔Huang Hsiang,32.7734808,38.3,125522.4315,tw,2545.tw
304,2028,威致WEI CHIH,32.57148,24.4,79474.4112,tw,2028.tw
305,1442,名軒ADVANCETEK,32.3027899,17.95,57983.50787,tw,1442.tw
306,1611,中國電器CE,32.2735742,13.95,45021.63601,tw,1611.tw
307,1219,福壽FWUSOW,32.2013887,21.7,69877.01348,tw,1219.tw
308,2029,盛餘Sheng Yu Steel,32.118,25,80295,tw,2029.tw
309,8215,明基材料BMC,32.0674514,27.2,87223.46781,tw,8215.tw
310,2485,兆赫Zinwell,31.7689037,19.75,62743.58481,tw,2485.tw
311,1612,宏泰電工Hong Tai,31.6080063,18.05,57052.45137,tw,1612.tw
312,2850,新光產險SK Insurance,31.59633,38.65,122119.8155,tw,2850.tw
313,8404,百和興業-KYPAIHO SHIH,31.5178126,29.8,93923.08155,tw,8404.tw
314,1522,堤維西TYC,31.2897881,23.6,73843.89992,tw,1522.tw
315,6541,泰福-KYTanvex,31.1537949,37.4,116515.1929,tw,6541.tw
316,6251,定穎電子DYNAMIC,31.1059335,19.4,60345.51099,tw,6251.tw
317,3042,晶技TXC,30.975704,74.9,232008.023,tw,3042.tw
318,9937,全國加油站NPC,30.9043,50.6,156375.758,tw,9937.tw
319,2402,毅嘉ICHIA,30.7536533,18.5,56894.25861,tw,2402.tw
320,2031,新光鋼鐵Hsin Kuang Steel,30.7187699,39.45,121185.5473,tw,2031.tw
321,9905,大華金屬GCM,30.5,23.3,71065,tw,9905.tw
