, 股票代號, 股票名稱
105,2501,國建 
106,2323,中環
107,2809,京城銀
108,1904,正隆 
109,1905,中華紙漿
110,2448,晶電
111,2836,高雄銀行
112,2607,榮運
113,2912,統一超商
114,1714,和桐化學 
115,2006,東和鋼鐵  
116,2201,裕隆汽車 
117,2104,國際中橡
118,1722,台灣肥料 
119,5531,鄉林建設
120,1444,力麗
121,4958,臻鼎-KY
122,2634,漢翔
123,1227,佳格食品
124,1447,力鵬
125,2106,建大工業
126,2905,三商 
127,1312,國喬石化        
128,2547,日勝生
129,1710,東聯化學
130,9910,豐泰企業
131,2606,裕民-
132,2377,微星
133,2101,南港輪胎   
134,1210,大成長城
135,2103,台橡
136,3703,欣陸
137,4414,如興 
138,2498,宏達電
139,2489,瑞軒
140,3049,和鑫
141,2206,三陽工業 
142,1789,台灣神隆
143,3036,文曄            
144,5522,遠雄建設
145,6239,力成
146,1103,嘉新水泥
147,2395,研華
148,9933,中鼎 
149,2474,可成
150,2841,台開
151,2637,慧洋-KY
152,2357,華碩
153,2385,群光
154,9940,信義房屋 
155,8150,南茂
156,2913,臺灣農林
157,2505,國揚
158,2349,錸德
159,2601,益航
160,2362,藍天
161,4960,誠美材料
162,6120,達運
163,1104,環球水泥
164,2332,友訊
165,2010,春源鋼鐵  
166,8046,南電
167,2376,技嘉
168,1608,華榮
169,2363,矽統
170,2367,燿華
171,3034,聯詠
172,1609,大亞電纜 
173,2401,凌陽
174,1319,東陽
175,2851,中再保
176,8926,台汽電
177,3005,神基
178,2605,新興
179,1308,亞聚
180,2015,豐興鋼鐵
181,1110,東南水泥 
182,4306,炎洲
183,2441,超豐
184,2915,潤泰全球  
185,2345,智邦
186,2539,櫻花建
187,2331,精英
188,2329,華泰
189,2614,東森
190,6153,嘉聯益 
191,2204,中華汽車-
192,1305,華夏塑膠
193,1455,集盛 
194,1711,永光化學
195,2368,金像
196,2207,和泰汽車 
197,2007,燁興
198,5469,瀚宇博德
199,1310,臺灣苯乙烯
200,3044,健鼎
201,1503,士林電機
202,2530,華建 
203,2328,廣宇-
204,6282,康舒
205,9908,大台北瓦斯
206,6191,精成科技
207,6592,和潤企業 
208,2392,正崴
209,2379,瑞昱
210,2908,特力 
211,1460,宏遠 
212,8110,華東科技
213,1201,味全食品-
214,4532,瑞智
215,2520,冠德
216,1218,泰山
217,2706,第一店 
218,2327,國巨
219,1217,愛之味
220,2388,威盛
221,2108,南帝化工
222,2492,華新科
223,2022,聚亨
224,1709,和益化工
225,2534,宏盛
226,2102,泰豐輪胎 
227,2208,台船公司
228,2608,嘉里大榮 
229,6176,瑞儀
230,9917,中保科 
231,4915,致伸
232,3189,景碩
233,2701,萬企
234,5521,工信
235,6443,元晶
236,2393,億光
237,8131,福懋科技
238,3380,明泰
239,8105,凌巨
240,3704,合勤控
241,2538,基泰 
242,2034,允強
243,1806,冠軍
244,3698,隆達電子
245,4142,國光生技
246,2451,創見
247,6257,矽格
248,2360,致茂
249,1712,興農
250,1513,中興電工
251,2617,台航
252,5264,鎧勝-
253,1507,永大機電
254,3673,TPK-KY
255,1108,幸福水泥 
256,1234,黑松-
257,1307,三芳化工 
258,6285,啟碁
259,2355,敬鵬-
260,2514,龍邦國際 
261,6412,群光電能 
262,3532,台勝科
263,9925,新保
264,1604,聲寶
265,2506,太設
266,1464,得力 
267,6177,達麗
268,2369,菱生
269,2340,光磊
270,8112,至上
271,4919,新唐科技
272,1532,勤美
273,9921,巨大機械 
274,2524,京城
275,1808,潤隆 
276,1810,和成欣業
277,3033,威健
278,2704,國賓
279,2832,台灣產物
280,2009,第一伸銅
281,1459,聯發紡織  
282,9934,成霖
283,4906,正文
284,3017,奇鋐
285,3266,昇陽
286,6269,台郡
287,1309,台達化
288,2405,浩鑫
289,2107,厚生  
290,1109,信大水泥
291,2017,官田鋼 
292,6456,GIS-KY
293,2457,飛宏
294,6213,聯茂
295,2383,台光電
296,2481,強茂 
297,2536,宏普 
298,2109,華豐橡膠 
299,9941,裕融            
300,2535,達欣工 
301,2049,上銀科技
302,3062,建漢
303,2545,皇翔 
304,2028,威致 
305,1442,名軒
306,1611,中國電器
307,1219,福壽
308,2029,盛餘  
309,8215,明基材料
310,2485,兆赫
311,1612,宏泰電工 
312,2850,新光產險 
313,8404,百和興業- 
314,1522,堤維西
315,6541,泰福-
316,6251,定穎電子
317,3042,晶技
318,9937,全國加油站
319,2402,毅嘉
320,2031,新光鋼鐵  
321,9905,大華金屬
322,2458,義隆
323,1736,喬山
324,1457,宜進 
325,2852,第一保 
326,2426,鼎元
327,2537,聯上開發 
328,1419,新光紡織
329,2227,裕日車
330,9914,美利達
331,1701,中國化學
332,9938,百和 
333,5007,三星科技 
334,1702,南僑投控
335,8464,億豐 
336,6278,台表科
337,5534,長虹 
338,9939,宏全 
339,2012,春雨工廠 
340,2406,國碩
341,3006,晶豪科
342,5533,皇鼎建設
343,2374,佳能
344,3019,亞洲光學
345,2030,彰源
346,8163,達方電子
347,1536,和大
348,3059,華晶科
349,5608,四維航 
350,3016,嘉晶
351,3024,憶聲
352,2548,華固
353,1476,儒鴻企業
354,2495,普安
355,8213,志超
356,2527,宏璟 
357,6214,精誠
358,1614,三洋電機
359,1337,再生- 
360,6142,友勁
361,1215,卜蜂企業
362,3705,永信
363,5525,順天
364,1519,華城電機
365,1903,士林紙業 
366,2450,神腦
367,2456,奇力新
368,5515,建國 
369,4526,東台
370,2338,光罩
371,2421,建準
372,5388,中磊
